image_url,Store ID,item_name,MSRP, Price,discount, Floor Stock, Backroom Stock, In Transit Stock, Aisles,URL,Address, City, State, ZIP
https://i5.walmartimages.com/seo/Lasko-Wind-Machine-20-Air-Circulator-Floor-Fan-3-Speeds-23-H-Black-A20302-New_6c64e299-0910-43c0-95d6-a05f4f306ff9.5b713c41ce99e209da2ad704a81dc063.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,1851,"Lasko Wind Machine 20"" Air Circulator Floor Fan",59.99, 19.0,68,4,0,0,Possibly OOS,https://www.walmart.com/ip/emoney/147291703,7900 W Mcnab Rd, North Lauderdale, FL,33068
https://i5.walmartimages.com/seo/Nerf-Pro-Gelfire-Raid-Water-Beads-Gel-Blaster-with-5-10-000-Rounds-800-Round-Hopper-and-Eyewear-For-Outdoor-Games-Ages-14-and-Up_e7aad479-1acf-4bc6-a004-5cf67e7b17ab.6cdae60e1bfffcdbd67e0771da2108b0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3104,Nerf Pro Gelfire Raid Water Beads Gel Blaster with 5 10,49.98, 16.5,67,2,0,0,Possibly OOS,https://www.walmart.com/ip/emoney/1534156033,1101 S Military Trl, Deerfield Beach, FL,33442
https://i5.walmartimages.com/seo/Nerf-Pro-Gelfire-Raid-Water-Beads-Gel-Blaster-with-5-10-000-Rounds-800-Round-Hopper-and-Eyewear-For-Outdoor-Games-Ages-14-and-Up_e7aad479-1acf-4bc6-a004-5cf67e7b17ab.6cdae60e1bfffcdbd67e0771da2108b0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,5854,Nerf Pro Gelfire Raid Water Beads Gel Blaster with 5 10,49.98, 20.0,60,5,0,0,Possibly OOS,https://www.walmart.com/ip/emoney/1534156033,8400 Coral Way, Miami, FL,33155
https://i5.walmartimages.com/seo/Nerf-Pro-Gelfire-Raid-Water-Beads-Gel-Blaster-with-5-10-000-Rounds-800-Round-Hopper-and-Eyewear-For-Outdoor-Games-Ages-14-and-Up_e7aad479-1acf-4bc6-a004-5cf67e7b17ab.6cdae60e1bfffcdbd67e0771da2108b0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,0,Nerf Pro Gelfire Raid Water Beads Gel Blaster with 5 10,49.98, 24.0,52,2,0,0,Possibly OOS,https://www.walmart.com/ip/emoney/1534156033,15601 Sw 127th Ave, Miami, FL,33177
https://i5.walmartimages.com/seo/Nerf-Pro-Gelfire-Raid-Water-Beads-Gel-Blaster-with-5-10-000-Rounds-800-Round-Hopper-and-Eyewear-For-Outdoor-Games-Ages-14-and-Up_e7aad479-1acf-4bc6-a004-5cf67e7b17ab.6cdae60e1bfffcdbd67e0771da2108b0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,2091,Nerf Pro Gelfire Raid Water Beads Gel Blaster with 5 10,49.98, 24.0,52,3,0,0, M1-11,https://www.walmart.com/ip/emoney/1534156033,8651 Nw 13th Ter, Doral, FL,33126
https://i5.walmartimages.com/seo/Nerf-Pro-Gelfire-Raid-Water-Beads-Gel-Blaster-with-5-10-000-Rounds-800-Round-Hopper-and-Eyewear-For-Outdoor-Games-Ages-14-and-Up_e7aad479-1acf-4bc6-a004-5cf67e7b17ab.6cdae60e1bfffcdbd67e0771da2108b0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,2946,Nerf Pro Gelfire Raid Water Beads Gel Blaster with 5 10,49.98, 16.5,67,7,0,0, L34-8,https://www.walmart.com/ip/emoney/1534156033,2500 W Broward Blvd, Fort Lauderdale, FL,33312
https://i5.walmartimages.com/seo/Nerf-Pro-Gelfire-Raid-Water-Beads-Gel-Blaster-with-5-10-000-Rounds-800-Round-Hopper-and-Eyewear-For-Outdoor-Games-Ages-14-and-Up_e7aad479-1acf-4bc6-a004-5cf67e7b17ab.6cdae60e1bfffcdbd67e0771da2108b0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,2987,Nerf Pro Gelfire Raid Water Beads Gel Blaster with 5 10,49.98, 16.5,67,4,0,0, I12-7/I12-11,https://www.walmart.com/ip/emoney/1534156033,4301 S University Dr, Davie, FL,33328
https://i5.walmartimages.com/seo/Nerf-Pro-Gelfire-Raid-Water-Beads-Gel-Blaster-with-5-10-000-Rounds-800-Round-Hopper-and-Eyewear-For-Outdoor-Games-Ages-14-and-Up_e7aad479-1acf-4bc6-a004-5cf67e7b17ab.6cdae60e1bfffcdbd67e0771da2108b0.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,2151,Nerf Pro Gelfire Raid Water Beads Gel Blaster with 5 10,49.98, 24.0,52,17,0,0, G29-3,https://www.walmart.com/ip/emoney/1534156033,12555 W Sunrise Blvd, Sunrise, FL,33323
https://i5.walmartimages.com/seo/Transformers-Optimus-Prime-Converting-RC-Radio-Control-Vehicle_d7404794-c097-493c-9374-ecc89090e0be.18975ff8d20d9549f388c4179f66d01c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,4303,Transformers Optimus Prime Converting RC Radio Control Vehicle,84.99, 39.97,53,2,0,0, I13-8,https://www.walmart.com/ip/emoney/1765361627,3200 Nw 79th St, Miami, FL,33147
https://i5.walmartimages.com/seo/Transformers-Optimus-Prime-Converting-RC-Radio-Control-Vehicle_d7404794-c097-493c-9374-ecc89090e0be.18975ff8d20d9549f388c4179f66d01c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,3935,Transformers Optimus Prime Converting RC Radio Control Vehicle,84.99, 39.97,53,3,0,0, I9-8,https://www.walmart.com/ip/emoney/1765361627,14325 Sw 268th St, Naranja, FL,33032
https://i5.walmartimages.com/seo/Transformers-Optimus-Prime-Converting-RC-Radio-Control-Vehicle_d7404794-c097-493c-9374-ecc89090e0be.18975ff8d20d9549f388c4179f66d01c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,1387,Transformers Optimus Prime Converting RC Radio Control Vehicle,84.99, 39.97,53,5,0,0, L1-5,https://www.walmart.com/ip/emoney/1765361627,4650 N University Dr, Coral Springs, FL,33067
https://i5.walmartimages.com/seo/Transformers-Optimus-Prime-Converting-RC-Radio-Control-Vehicle_d7404794-c097-493c-9374-ecc89090e0be.18975ff8d20d9549f388c4179f66d01c.jpeg?odnHeight=450&odnWidth=450&odnBg=FFFFFF,5912,Transformers Optimus Prime Converting RC Radio Control Vehicle,84.99, 31.5,63,2,0,0,Possibly OOS,https://www.walmart.com/ip/emoney/1765361627,21151 S Dixie Hwy, Miami, FL,33189
